id,parentActivityInstanceId,activityId,activityName,activityType,processDefinitionKey,processDefinitionId,processInstanceId,executionId,taskId,calledProcessInstanceId,calledCaseInstanceId,assignee,canceled,completeScope,tenantId,removalTime,rootProcessInstanceId,startTime,endTime,durationInMillis
EndEvent_1u0rqsq:28c56e44-63fb-11ea-8dcd-00d86175334f,28c37268-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,28c37268-63fb-11ea-8dcd-00d86175334f,28c37268-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,28c37268-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:48:16.019+1000,2020-03-12T10:48:16.019+1000,0
EndEvent_1u0rqsq:6c7a8e30-5de0-11ea-a86b-00d86175334f,6c7a8e24-5de0-11ea-a86b-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,6c7a8e24-5de0-11ea-a86b-00d86175334f,6c7a8e24-5de0-11ea-a86b-00d86175334f,,,,,false,true,,,6c7a8e24-5de0-11ea-a86b-00d86175334f,2020-03-04T16:21:46.226+1000,2020-03-04T16:21:46.226+1000,0
EndEvent_1u0rqsq:a7ec653f-63fb-11ea-8dcd-00d86175334f,a7ec1713-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,a7ec1713-63fb-11ea-8dcd-00d86175334f,a7ec1713-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,a7ec1713-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:51:49.345+1000,2020-03-12T10:51:49.346+1000,1
EndEvent_1u0rqsq:a7f0ab0c-63fb-11ea-8dcd-00d86175334f,a7f05ce0-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,a7f05ce0-63fb-11ea-8dcd-00d86175334f,a7f05ce0-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,a7f05ce0-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:51:49.373+1000,2020-03-12T10:51:49.373+1000,0
EndEvent_1u0rqsq:a7f2a6e9-63fb-11ea-8dcd-00d86175334f,a7f258bd-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,a7f258bd-63fb-11ea-8dcd-00d86175334f,a7f258bd-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,a7f258bd-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:51:49.386+1000,2020-03-12T10:51:49.386+1000,0
EndEvent_1u0rqsq:a7f4a2c6-63fb-11ea-8dcd-00d86175334f,a7f4549a-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,a7f4549a-63fb-11ea-8dcd-00d86175334f,a7f4549a-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,a7f4549a-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:51:49.399+1000,2020-03-12T10:51:49.399+1000,0
EndEvent_1u0rqsq:a7f60263-63fb-11ea-8dcd-00d86175334f,a7f5db47-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,a7f5db47-63fb-11ea-8dcd-00d86175334f,a7f5db47-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,a7f5db47-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:51:49.408+1000,2020-03-12T10:51:49.408+1000,0
EndEvent_1u0rqsq:a7f73af0-63fb-11ea-8dcd-00d86175334f,a7f713d4-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,a7f713d4-63fb-11ea-8dcd-00d86175334f,a7f713d4-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,a7f713d4-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:51:49.416+1000,2020-03-12T10:51:49.416+1000,0
EndEvent_1u0rqsq:a7f84c6d-63fb-11ea-8dcd-00d86175334f,a7f82551-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,a7f82551-63fb-11ea-8dcd-00d86175334f,a7f82551-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,a7f82551-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:51:49.423+1000,2020-03-12T10:51:49.423+1000,0
EndEvent_1u0rqsq:a7f984fa-63fb-11ea-8dcd-00d86175334f,a7f95dde-63fb-11ea-8dcd-00d86175334f,EndEvent_1u0rqsq,Process Completed,noneEndEvent,sequence,sequence:1:56ede483-5de0-11ea-a86b-00d86175334f,a7f95dde-63fb-11ea-8dcd-00d86175334f,a7f95dde-63fb-11ea-8dcd-00d86175334f,,,,,false,true,,,a7f95dde-63fb-11ea-8dcd-00d86175334f,2020-03-12T10:51:49.431+1000,2020-03-12T10:51:49.431+1000,0
